time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,5,0,2,0,2.7
0.1,0.5,0,5.2,0,2,0,2.7
0.2,1.02,0,5.4,0,2,0,2.7
0.3,1.56,0,5.6,0,2,0,2.7
0.4,2.12,0,5.8,0,2,0,2.7
0.5,2.7,0,6,0,2,0,2.7
0.6,3.3,0,6.2,0,2,0,2.7
0.7,3.92,0,6.4,0,2,0,2.7
0.8,4.56,0,6.6,0,2,0,2.7
0.9,5.22,0,6.8,0,2,0,2.7
1,5.9,0,7,0,2,0,2.7
1.1,6.6,0,7.2,0,2,0,2.7
1.2,7.32,0,7.4,0,2,0,2.7
1.3,8.06,0,7.6,0,2,0,2.7
1.4,8.82,0,7.8,0,2,0,2.7
1.5,9.6,0,8,0,2,0,2.7
1.6,10.4,0,8.2,0,2,0,2.7
1.7,11.22,0,8.4,0,2,0,2.7
1.8,12.06,0,8.6,0,2,0,2.7
1.9,12.92,0,8.8,0,2,0,2.7
2,13.8,0,9,0,2,0,2.7
2.1,14.7,0,9.2,0,2,0,2.7
2.2,15.62,0,9.4,0,2,0,2.7
2.3,16.56,0,9.6,0,2,0,2.7
2.4,17.52,0,9.8,0,2,0,2.7
2.5,18.5,0,10,0,2,0,2.7
2.6,19.5,0,10.2,0,2,0,2.7
2.7,20.52,0,10.4,0,2,0,2.7
2.8,21.56,0,10.6,0,2,0,2.7
2.9,22.62,0,10.8,0,2,0,2.7
3,23.7,0,11,0,2,0,2.7
3.1,24.8,0,11.2,0,2,0,2.7
3.2,25.92,0,11.4,0,2,0,2.7
3.3,27.06,0,11.6,0,2,0,2.7
3.4,28.22,0,11.8,0,2,0,2.7
3.5,29.4,0,12,0,2,0,2.7
3.6,30.6,0,12.2,0,2,0,2.7
3.7,31.82,0,12.4,0,2,0,2.7
3.8,33.06,0,12.6,0,2,0,2.7
3.9,34.32,0,12.8,0,2,0,2.7
4,35.6,0,13,0,2,0,2.7
4.1,36.9,0,13.2,0,2,0,2.7
4.2,38.22,0,13.4,0,2,0,2.7
4.3,39.56,0,13.6,0,2,0,2.7
4.4,40.92,0,13.8,0,2,0,2.7
4.5,42.3,0,14,0,2,0,2.7
4.6,43.7,0,14.2,0,2,0,2.7
4.7,45.12,0,14.4,0,2,0,2.7
4.8,46.56,0,14.6,0,2,0,2.7
4.9,48.02,0,14.8,0,2,0,2.7
5,49.5,0,15,0,2,0,2.7
