time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,10,0,0,0.1,2.7
0.1,0.99977,0.0185784,10,0.037161,0,0.1,2.7
0.2,1.99816,0.0742878,10,0.074322,0,0.1,2.7
0.3,2.99379,0.167051,10,0.111483,0,0.1,2.7
0.4,3.98529,0.296741,10,0.148644,0,0.1,2.7
0.5,4.97128,0.463178,10,0.185805,0,0.1,2.7
0.6,5.95041,0.666131,10,0.222966,0,0.1,2.7
0.7,6.92132,0.905322,10,0.260127,0,0.1,2.7
0.8,7.88268,1.18042,10,0.297288,0,0.1,2.7
0.9,8.83315,1.49104,10,0.334449,0,0.1,2.7
1,9.77143,1.83677,10,0.37161,0,0.1,2.7
1.1,10.6962,2.21711,10,0.408771,0,0.1,2.7
1.2,11.6062,2.63155,10,0.445932,0,0.1,2.7
1.3,12.5002,3.07951,10,0.483093,0,0.1,2.7
1.4,13.3769,3.56037,10,0.520254,0,0.1,2.7
1.5,14.2352,4.07348,10,0.557415,0,0.1,2.7
1.6,15.0738,4.61812,10,0.594576,0,0.1,2.7
1.7,15.8916,5.19354,10,0.631737,0,0.1,2.7
1.8,16.6874,5.79894,10,0.668898,0,0.1,2.7
1.9,17.4602,6.43349,10,0.706059,0,0.1,2.7
2,18.2089,7.09632,10,0.74322,0,0.1,2.7
2.1,18.9325,7.78651,10,0.780381,0,0.1,2.7
2.2,19.6299,8.5031,10,0.817542,0,0.1,2.7
2.3,20.3002,9.2451,10,0.854703,0,0.1,2.7
2.4,20.9425,10.0115,10,0.891864,0,0.1,2.7
2.5,21.5558,10.8012,10,0.929025,0,0.1,2.7
2.6,22.1394,11.6132,10,0.966186,0,0.1,2.7
2.7,22.6925,12.4463,10,1.00335,0,0.1,2.7
2.8,23.2142,13.2994,10,1.04051,0,0.1,2.7
2.9,23.7038,14.1712,10,1.07767,0,0.1,2.7
3,24.1607,15.0607,10,1.11483,0,0.1,2.7
3.1,24.5843,15.9665,10,1.15199,0,0.1,2.7
3.2,24.9739,16.8874,10,1.18915,0,0.1,2.7
3.3,25.329,17.8222,10,1.22631,0,0.1,2.7
3.4,25.6491,18.7695,10,1.26347,0,0.1,2.7
3.5,25.9339,19.728,10,1.30063,0,0.1,2.7
3.6,26.1828,20.6965,10,1.3378,0,0.1,2.7
3.7,26.3955,21.6735,10,1.37496,0,0.1,2.7
3.8,26.5719,22.6578,10,1.41212,0,0.1,2.7
3.9,26.7115,23.6479,10,1.44928,0,0.1,2.7
4,26.8143,24.6426,10,1.48644,0,0.1,2.7
4.1,26.88,25.6404,10,1.5236,0,0.1,2.7
4.2,26.9086,26.6399,10,1.56076,0,0.1,2.7
4.3,26.9,27.6398,10,1.59792,0,0.1,2.7
4.4,26.8544,28.6387,10,1.63508,0,0.1,2.7
4.5,26.7716,29.6352,10,1.67224,0,0.1,2.7
4.6,26.6518,30.628,10,1.70941,0,0.1,2.7
4.7,26.4953,31.6156,10,1.74657,0,0.1,2.7
4.8,26.3022,32.5967,10,1.78373,0,0.1,2.7
4.9,26.0728,33.57,10,1.82089,0,0.1,2.7
5,25.8073,34.534,10,1.85805,0,0.1,2.7
