time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,25,0,-6,0,2.7
0.1,2.5,0,24.4,0,-6,0,2.7
0.2,4.94,0,23.8,0,-6,0,2.7
0.3,7.32,0,23.2,0,-6,0,2.7
0.4,9.64,0,22.6,0,-6,0,2.7
0.5,11.9,0,22,0,-6,0,2.7
0.6,14.1,0,21.4,0,-6,0,2.7
0.7,16.24,0,20.8,0,-6,0,2.7
0.8,18.32,0,20.2,0,-6,0,2.7
0.9,20.34,0,19.6,0,-6,0,2.7
1,22.3,0,19,0,-6,0,2.7
1.1,24.2,0,18.4,0,-6,0,2.7
1.2,26.04,0,17.8,0,-6,0,2.7
1.3,27.82,0,17.2,0,-6,0,2.7
1.4,29.54,0,16.6,0,-6,0,2.7
1.5,31.2,0,16,0,-6,0,2.7
1.6,32.8,0,15.4,0,-6,0,2.7
1.7,34.34,0,14.8,0,-6,0,2.7
1.8,35.82,0,14.2,0,-6,0,2.7
1.9,37.24,0,13.6,0,-6,0,2.7
2,38.6,0,13,0,-6,0,2.7
2.1,39.9,0,12.4,0,-6,0,2.7
2.2,41.14,0,11.8,0,-6,0,2.7
2.3,42.32,0,11.2,0,-6,0,2.7
2.4,43.44,0,10.6,0,-6,0,2.7
2.5,44.5,0,10,0,-6,0,2.7
2.6,45.5,0,9.4,0,-6,0,2.7
2.7,46.44,0,8.8,0,-6,0,2.7
2.8,47.32,0,8.2,0,-6,0,2.7
2.9,48.14,0,7.6,0,-6,0,2.7
3,48.9,0,7,0,-6,0,2.7
3.1,49.6,0,6.4,0,-6,0,2.7
3.2,50.24,0,5.8,0,-6,0,2.7
3.3,50.82,0,5.2,0,-6,0,2.7
3.4,51.34,0,4.6,0,-6,0,2.7
3.5,51.8,0,4,0,-6,0,2.7
3.6,52.2,0,3.4,0,-6,0,2.7
3.7,52.54,0,2.8,0,-6,0,2.7
3.8,52.82,0,2.2,0,-6,0,2.7
3.9,53.04,0,1.6,0,-6,0,2.7
4,53.2,0,1,0,-6,0,2.7
4.1,53.3,0,0.4,0,-6,0,2.7
4.2,53.34,0,0,0,-6,0,2.7
