time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,5,0,2,0,2.7
0.1,0.52,0,5.2,0,2,0,2.7
0.2,1.06,0,5.4,0,2,0,2.7
0.3,1.62,0,5.6,0,2,0,2.7
0.4,2.2,0,5.8,0,2,0,2.7
0.5,2.8,0,6,0,2,0,2.7
0.6,3.42,0,6.2,0,2,0,2.7
0.7,4.06,0,6.4,0,2,0,2.7
0.8,4.72,0,6.6,0,2,0,2.7
0.9,5.4,0,6.8,0,2,0,2.7
1,6.1,0,7,0,2,0,2.7
1.1,6.82,0,7.2,0,2,0,2.7
1.2,7.56,0,7.4,0,2,0,2.7
1.3,8.32,0,7.6,0,2,0,2.7
1.4,9.1,0,7.8,0,2,0,2.7
1.5,9.9,0,8,0,2,0,2.7
1.6,10.72,0,8.2,0,2,0,2.7
1.7,11.56,0,8.4,0,2,0,2.7
1.8,12.42,0,8.6,0,2,0,2.7
1.9,13.3,0,8.8,0,2,0,2.7
2,14.2,0,9,0,2,0,2.7
2.1,15.12,0,9.2,0,2,0,2.7
2.2,16.06,0,9.4,0,2,0,2.7
2.3,17.02,0,9.6,0,2,0,2.7
2.4,18,0,9.8,0,2,0,2.7
2.5,19,0,10,0,2,0,2.7
2.6,20.02,0,10.2,0,2,0,2.7
2.7,21.06,0,10.4,0,2,0,2.7
2.8,22.12,0,10.6,0,2,0,2.7
2.9,23.2,0,10.8,0,2,0,2.7
3,24.3,0,11,0,2,0,2.7
3.1,25.42,0,11.2,0,2,0,2.7
3.2,26.56,0,11.4,0,2,0,2.7
3.3,27.72,0,11.6,0,2,0,2.7
3.4,28.9,0,11.8,0,2,0,2.7
3.5,30.1,0,12,0,2,0,2.7
3.6,31.32,0,12.2,0,2,0,2.7
3.7,32.56,0,12.4,0,2,0,2.7
3.8,33.82,0,12.6,0,2,0,2.7
3.9,35.1,0,12.8,0,2,0,2.7
4,36.4,0,13,0,2,0,2.7
4.1,37.72,0,13.2,0,2,0,2.7
4.2,39.06,0,13.4,0,2,0,2.7
4.3,40.42,0,13.6,0,2,0,2.7
4.4,41.8,0,13.8,0,2,0,2.7
4.5,43.2,0,14,0,2,0,2.7
4.6,44.62,0,14.2,0,2,0,2.7
4.7,46.06,0,14.4,0,2,0,2.7
4.8,47.52,0,14.6,0,2,0,2.7
4.9,49,0,14.8,0,2,0,2.7
5,50.5,0,15,0,2,0,2.7
5.1,52.02,0,15.2,0,2,0,2.7
