time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,10,0,0,0.1,2.7
0.1,1,0,10,0.037161,0,0.1,2.7
0.2,1.99931,0.0371524,10,0.074322,0,0.1,2.7
0.3,2.99655,0.111406,10,0.111483,0,0.1,2.7
0.4,3.99034,0.222658,10,0.148644,0,0.1,2.7
0.5,4.97931,0.370755,10,0.185805,0,0.1,2.7
0.6,5.9621,0.555493,10,0.222966,0,0.1,2.7
0.7,6.93735,0.776616,10,0.260127,0,0.1,2.7
0.8,7.90371,1.03382,10,0.297288,0,0.1,2.7
0.9,8.85984,1.32675,10,0.334449,0,0.1,2.7
1,9.80443,1.655,10,0.37161,0,0.1,2.7
1.1,10.7362,2.01811,10,0.408771,0,0.1,2.7
1.2,11.6538,2.41559,10,0.445932,0,0.1,2.7
1.3,12.556,2.84689,10,0.483093,0,0.1,2.7
1.4,13.4416,3.31141,10,0.520254,0,0.1,2.7
1.5,14.3092,3.80851,10,0.557415,0,0.1,2.7
1.6,15.1579,4.33751,10,0.594576,0,0.1,2.7
1.7,15.9863,4.89767,10,0.631737,0,0.1,2.7
1.8,16.7933,5.48821,10,0.668898,0,0.1,2.7
1.9,17.5778,6.10833,10,0.706059,0,0.1,2.7
2,18.3387,6.75717,10,0.74322,0,0.1,2.7
2.1,19.075,7.43384,10,0.780381,0,0.1,2.7
2.2,19.7856,8.13739,10,0.817542,0,0.1,2.7
2.3,20.4697,8.86685,10,0.854703,0,0.1,2.7
2.4,21.1261,9.62123,10,0.891864,0,0.1,2.7
2.5,21.7541,10.3995,10,0.929025,0,0.1,2.7
2.6,22.3527,11.2005,10,0.966186,0,0.1,2.7
2.7,22.9211,12.0232,10,1.00335,0,0.1,2.7
2.8,23.4586,12.8665,10,1.04051,0,0.1,2.7
2.9,23.9644,13.7292,10,1.07767,0,0.1,2.7
3,24.4378,14.61,10,1.11483,0,0.1,2.7
3.1,24.8781,15.5079,10,1.15199,0,0.1,2.7
3.2,25.2848,16.4214,10,1.18915,0,0.1,2.7
3.3,25.6572,17.3495,10,1.22631,0,0.1,2.7
3.4,25.9949,18.2907,10,1.26347,0,0.1,2.7
3.5,26.2974,19.2439,10,1.30063,0,0.1,2.7
3.6,26.5643,20.2076,10,1.3378,0,0.1,2.7
3.7,26.7952,21.1806,10,1.37496,0,0.1,2.7
3.8,26.9898,22.1615,10,1.41212,0,0.1,2.7
3.9,27.1478,23.1489,10,1.44928,0,0.1,2.7
4,27.269,24.1415,10,1.48644,0,0.1,2.7
4.1,27.3533,25.138,10,1.5236,0,0.1,2.7
4.2,27.4005,26.1369,10,1.56076,0,0.1,2.7
4.3,27.4105,27.1368,10,1.59792,0,0.1,2.7
4.4,27.3834,28.1365,10,1.63508,0,0.1,2.7
4.5,27.3191,29.1344,10,1.67224,0,0.1,2.7
4.6,27.2179,30.1292,10,1.70941,0,0.1,2.7
4.7,27.0797,31.1197,10,1.74657,0,0.1,2.7
4.8,26.9048,32.1042,10,1.78373,0,0.1,2.7
4.9,26.6935,33.0817,10,1.82089,0,0.1,2.7
5,26.446,34.0506,10,1.85805,0,0.1,2.7
5.1,26.1627,35.0096,10,1.89521,0,0.1,2.7
