time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,25,0,-6,0,2.7
0.1,2.44,0,24.4,0,-6,0,2.7
0.2,4.82,0,23.8,0,-6,0,2.7
0.3,7.14,0,23.2,0,-6,0,2.7
0.4,9.4,0,22.6,0,-6,0,2.7
0.5,11.6,0,22,0,-6,0,2.7
0.6,13.74,0,21.4,0,-6,0,2.7
0.7,15.82,0,20.8,0,-6,0,2.7
0.8,17.84,0,20.2,0,-6,0,2.7
0.9,19.8,0,19.6,0,-6,0,2.7
1,21.7,0,19,0,-6,0,2.7
1.1,23.54,0,18.4,0,-6,0,2.7
1.2,25.32,0,17.8,0,-6,0,2.7
1.3,27.04,0,17.2,0,-6,0,2.7
1.4,28.7,0,16.6,0,-6,0,2.7
1.5,30.3,0,16,0,-6,0,2.7
1.6,31.84,0,15.4,0,-6,0,2.7
1.7,33.32,0,14.8,0,-6,0,2.7
1.8,34.74,0,14.2,0,-6,0,2.7
1.9,36.1,0,13.6,0,-6,0,2.7
2,37.4,0,13,0,-6,0,2.7
2.1,38.64,0,12.4,0,-6,0,2.7
2.2,39.82,0,11.8,0,-6,0,2.7
2.3,40.94,0,11.2,0,-6,0,2.7
2.4,42,0,10.6,0,-6,0,2.7
2.5,43,0,10,0,-6,0,2.7
2.6,43.94,0,9.4,0,-6,0,2.7
2.7,44.82,0,8.8,0,-6,0,2.7
2.8,45.64,0,8.2,0,-6,0,2.7
2.9,46.4,0,7.6,0,-6,0,2.7
3,47.1,0,7,0,-6,0,2.7
3.1,47.74,0,6.4,0,-6,0,2.7
3.2,48.32,0,5.8,0,-6,0,2.7
3.3,48.84,0,5.2,0,-6,0,2.7
3.4,49.3,0,4.6,0,-6,0,2.7
3.5,49.7,0,4,0,-6,0,2.7
3.6,50.04,0,3.4,0,-6,0,2.7
3.7,50.32,0,2.8,0,-6,0,2.7
3.8,50.54,0,2.2,0,-6,0,2.7
3.9,50.7,0,1.6,0,-6,0,2.7
4,50.8,0,1,0,-6,0,2.7
4.1,50.84,0,0.4,0,-6,0,2.7
4.2,50.84,0,0,0,-6,0,2.7
