time,x,y,velocity,heading,commanded_acceleration,steering_angle,wheelbase
0,0,0,15,0,0,0,2.7
0.1,1.5,0,15,0,0,0,2.7
0.2,3,0,15,0,0,0,2.7
0.3,4.5,0,15,0,0,0,2.7
0.4,6,0,15,0,0,0,2.7
0.5,7.5,0,15,0,0,0,2.7
0.6,9,0,15,0,0,0,2.7
0.7,10.5,0,15,0,0,0,2.7
0.8,12,0,15,0,0,0,2.7
0.9,13.5,0,15,0,0,0,2.7
1,15,0,15,0,0,0,2.7
1.1,16.5,0,15,0,0,0,2.7
1.2,18,0,15,0.0445395,0,0.08,2.7
1.3,19.4985,0.0667872,15,0.089079,0,0.08,2.7
1.4,20.9926,0.200229,15,0.133619,0,0.08,2.7
1.5,22.4792,0.400061,15,0.178158,0,0.08,2.7
1.6,23.9555,0.665886,15,0.222698,0,0.08,2.7
1.7,25.4184,0.997178,15,0.267237,0,0.08,2.7
1.8,26.8652,1.39328,15,0.311777,0,0.08,2.7
1.9,28.2929,1.8534,15,0.356316,0,0.08,2.7
2,29.6986,2.37664,15,0.400856,0,0.08,2.7
2.1,31.0797,2.96195,15,0.356316,0,-0.08,2.7
2.2,32.4855,3.48519,15,0.311777,0,-0.08,2.7
2.3,33.9132,3.94531,15,0.267237,0,-0.08,2.7
2.4,35.3599,4.34141,15,0.222698,0,-0.08,2.7
2.5,36.8229,4.6727,15,0.178158,0,-0.08,2.7
2.6,38.2992,4.93853,15,0.133619,0,-0.08,2.7
2.7,39.7858,5.13836,15,0.089079,0,-0.08,2.7
2.8,41.2798,5.2718,15,0.0445395,0,-0.08,2.7
2.9,42.7784,5.33859,15,0,0,-0.08,2.7
3,44.2784,5.33859,15,-0.0445395,0,-0.08,2.7
3.1,45.7769,5.2718,15,-0.0445395,0,0,2.7
3.2,47.2754,5.20502,15,-0.0445395,0,0,2.7
3.3,48.7739,5.13823,15,-0.0445395,0,0,2.7
3.4,50.2724,5.07144,15,-0.0445395,0,0,2.7
3.5,51.7709,5.00466,15,-0.0445395,0,0,2.7
3.6,53.2694,4.93787,15,-0.0445395,0,0,2.7
3.7,54.7679,4.87108,15,-0.0445395,0,0,2.7
3.8,56.2665,4.80429,15,-0.0445395,0,0,2.7
3.9,57.765,4.73751,15,-0.0445395,0,0,2.7
4,59.2635,4.67072,15,-0.0445395,0,0,2.7
4.1,60.762,4.60393,15,-0.0445395,0,0,2.7
4.2,62.2605,4.53714,15,-0.0445395,0,0,2.7
4.3,63.759,4.47036,15,-0.0445395,0,0,2.7
4.4,65.2575,4.40357,15,-0.0445395,0,0,2.7
4.5,66.756,4.33678,15,-0.0445395,0,0,2.7
4.6,68.2546,4.27,15,-0.0445395,0,0,2.7
4.7,69.7531,4.20321,15,-0.0445395,0,0,2.7
4.8,71.2516,4.13642,15,-0.0445395,0,0,2.7
4.9,72.7501,4.06963,15,-0.0445395,0,0,2.7
5,74.2486,4.00285,15,-0.0445395,0,0,2.7
5.1,75.7471,3.93606,15,-0.0445395,0,0,2.7
